#TYPE Deserialized.System.ServiceProcess.ServiceController
"Name","RequiredServices","PSComputerName","RunspaceId","PSShowComputerName","CanPauseAndContinue","CanShutdown","CanStop","DisplayName","DependentServices","MachineName","ServiceName","ServicesDependedOn","Status","ServiceType","StartType","Site","Container"
"TrustedInstaller","","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","Windows Modules Installer","",".","TrustedInstaller","","Running","Win32OwnProcess","Manual",,
"UnistoreSvc_4924840","","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","User Data Storage_4924840","UserDataSvc_4924840 PimIndexMaintenanceSvc_4924840",".","UnistoreSvc_4924840","","Running","224","Manual",,
"UserDataSvc_4924840","","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","User Data Access_4924840","",".","UserDataSvc_4924840","","Running","224","Manual",,
"UserManager","RpcSs ProfSvc","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","User Manager","XblGameSave TokenBroker",".","UserManager","RpcSs ProfSvc","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"UsoSvc","rpcss","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","True","True","Update Orchestrator Service","",".","UsoSvc","rpcss","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"VaultSvc","rpcss","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","True","True","Credential Manager","",".","VaultSvc","rpcss","Running","Win32ShareProcess","Manual",,
"vpnagent","Tcpip","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","True","True","True","Cisco AnyConnect Secure Mobility Agent","",".","vpnagent","Tcpip","Running","Win32OwnProcess","Automatic",,
"Wcmsvc","RpcSs NSI","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","True","True","Windows Connection Manager","xTendSoftAPService WlanSvc icssvc",".","Wcmsvc","RpcSs NSI","Running","Win32OwnProcess","Automatic",,
"WdiServiceHost","","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","True","True","Diagnostic Service Host","",".","WdiServiceHost","","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"WdiSystemHost","","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","True","True","Diagnostic System Host","",".","WdiSystemHost","","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"WdNisSvc","WdNisDrv","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","Microsoft Defender Antivirus Network Inspection Service","",".","WdNisSvc","WdNisDrv","Running","Win32OwnProcess","Manual",,
"WinDefend","RpcSs","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","True","True","Microsoft Defender Antivirus Service","",".","WinDefend","RpcSs","Running","Win32OwnProcess","Automatic",,
"WinHttpAutoProxySvc","Dhcp","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","True","False","WinHTTP Web Proxy Auto-Discovery Service","NcaSvc jhi_service iphlpsvc",".","WinHttpAutoProxySvc","Dhcp","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
